"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","ncoef"
"96","LQ","1","fc.LQ_rm.1",0.555999197860963,0.696,0.0553602033559561,0.0799739931766077,0.518306032448902,0.0821485297928873,0.00325000000000001,0.417669227180233,0.0941820689161115,0.0912367059499176,0.0206228956228956,0.0240599426396573,6
"97","LQ","1","fc.LQ_rm.1",0.545020588235294,0.842,0.0754744657528209,0.0328886847909634,0.635491985999729,0.0302670552704555,0.64825,0.166828005242925,0.0391695577865791,0.0246763621348078,0,0,5
"98","LQ","1","fc.LQ_rm.1",0.531828609625668,0.295,0.222054735937255,0.112006320669096,0.320572866806329,0.109259782355044,-0.775,0.124998666659555,0.363256424426637,0.13625057358719,0.0273569023569024,0.043258131843534,7
"99","LQ","1","fc.LQ_rm.1",0.538337700534759,0.631,0.0952742738257222,0.101763091309969,0.565963821120336,0.138224404278408,0.428,0.42385296192587,0.0443684566024992,0.0477811217154531,0.00462962962962963,0.00925925925925926,5
"100","LQ","1","fc.LQ_rm.1",0.5385064171123,0.659,0.129612290178476,0.0714115085559556,0.424904765858732,0.0652522196641825,-0.3775,0.376124536113595,0.279787489893873,0.086026701759647,0.00595238095238095,0.0119047619047619,4
"101","LQ","1","fc.LQ_rm.1",0.532579411764706,0.796,0.143380195743077,0.095848752919941,0.61533038833095,0.165839283276112,0.41625,0.507107072848854,0.100495200229243,0.161219908636259,0.00568181818181818,0.0113636363636364,6
"102","LQ","1","fc.LQ_rm.1",0.557696256684492,0.875,0.145152645208764,0.0284438858191908,0.41820244208784,0.0299307297902494,-0.4075,0.19402491248978,0.29167178369306,0.0517547119822337,0.0222162097162097,0.019602706048462,6
"103","LQ","1","fc.LQ_rm.1",0.546032887700535,0.518,0.0955146708244373,0.0736964452521713,0.550274388167997,0.138795890540893,0.322,0.655520149703018,0.0726010101010101,0.10479797979798,0.00462962962962963,0.00925925925925926,7
"104","LQ","1","fc.LQ_rm.1",0.563188770053476,0.631,0.26761349612006,0.0269450454309141,0.298816100428625,0.024347462723507,-0.7675,0.0697686653639488,0.356841592213933,0.0227336140131783,0.107179955584211,0.114316052725406,6
"105","LQ","1","fc.LQ_rm.1",0.580193315508021,0.876,0.175381972618901,0.0888318065690195,0.410696926083918,0.0909727671425162,-0.543,0.205543182810815,0.23567872238085,0.0976049798938714,0.0444324194324194,0.039205412096924,7
"106","LQ","1","fc.LQ_rm.1",0.556806684491979,0.629,0.0760393135462611,0.0702897230258032,0.494075955167251,0.068322103367641,-0.075,0.407556131103435,0.15680359829296,0.13904696277025,0.0105820105820106,0.0124085073011202,5
"107","LQ","1","fc.LQ_rm.1",0.54192486631016,0.793,0.222073422937644,0.0459280794892256,0.330157545569755,0.0441053740213544,-0.718,0.122248381039041,0.272997195869536,0.0476279991682178,0.0448232323232323,0.0546441540615717,5
"108","LQ","1","fc.LQ_rm.1",0.55716256684492,0.779,0.0797281169175097,0.0712758070032514,0.575968852070445,0.116968434435441,0.27625,0.736666987179417,0.081461780929866,0.113512280785032,0,0,4
"109","LQ","1","fc.LQ_rm.1",0.533534224598931,0.635,0.13495340854887,0.0723896695200437,0.408059300830143,0.0648493040797342,-0.2855,0.232667860550901,0.240222002190087,0.127568761258163,0.0103114478114478,0.0120299713198287,6
"110","LQ","1","fc.LQ_rm.1",0.547068449197861,0.73,0.129550155551101,0.0676363601183442,0.6905365986716,0.0638884077276115,0.76225,0.143048651397581,0.0754531126871552,0.0716222759342457,0.00595238095238095,0.0119047619047619,6
"111","LQ","1","fc.LQ_rm.1",0.557329144385027,0.761,0.118080036980269,0.0502646924143209,0.504789650007809,0.127428590353591,0.07775,0.656053542022296,0.118040204476375,0.0794911039556528,0,0,7
"112","LQ","1","fc.LQ_rm.1",0.547833422459893,0.626,0.222310389223738,0.0732008548380082,0.332819847444118,0.0803024122783699,-0.645,0.259575294150528,0.314186699824998,0.168499754249227,0.0297900484070697,0.0313940942645165,4
"113","LQ","1","fc.LQ_rm.1",0.545801336898396,0.814,0.0810044316608326,0.0238009071715113,0.471775837858283,0.0221313454186449,-0.18475,0.203580246258488,0.198437004288068,0.0908632015318011,0.00994877856579984,0.0115429094367929,5
"114","LQ","1","fc.LQ_rm.1",0.530450267379679,0.529,0.143916245096697,0.0596844727144803,0.427503686078458,0.120005828140732,-0.3535,0.797853996668563,0.215705689109944,0.152667444112058,0.0511664261664262,0.04900911634938,5
"115","LQ","1","fc.LQ_rm.1",0.551360160427807,0.95,0.286733195597241,0.0310289020087336,0.272235441713494,0.0413115990362116,-0.79875,0.0588635427634683,0.440165331122778,0.0441336671806105,0.0773150706661345,0.0359811804259961,6
"116","LQ","1","fc.LQ_rm.1",0.53456577540107,0.571,0.11280356503103,0.0568408886136975,0.655620508302487,0.061143784300698,0.5245,0.361442019324446,0.0403138528138528,0.0537896208137253,0.0113636363636364,0.0227272727272727,5
"117","LQ","1","fc.LQ_rm.1",0.555120855614973,0.528,0.0705549081084585,0.0188593784996833,0.554451892569981,0.0764868367973734,0.27375,0.630067919619253,0.145502645502645,0.168067515071625,0.0138888888888889,0.0277777777777778,4
"118","LQ","1","fc.LQ_rm.1",0.512080481283422,0.299,0.134577731145707,0.0882870452899181,0.485475312945285,0.179785543881754,-0.11125,0.650367780567273,0.209054834054834,0.139472359998752,0.0242003367003367,0.0349326599326599,3
"119","LQ","1","fc.LQ_rm.1",0.542408288770053,0.249,0.169256739147193,0.118938737073306,0.384982877266599,0.121447774503241,-0.2665,0.657830018571161,0.257139531075701,0.0945504774541777,0.0103114478114478,0.0120299713198287,5
"120","LQ","1","fc.LQ_rm.1",0.551576470588235,0.841,0.0489615838709213,0.0524626952148321,0.577108449408713,0.0833221410488856,0.19175,0.45030313863737,0.138979076479076,0.114574592860621,0,0,7
"121","LQ","1","fc.LQ_rm.1",0.556625935828877,0.632,0.111143525717793,0.0531934529743653,0.450551918351447,0.0527909802064424,-0.4755,0.273659764427777,0.234440401993593,0.0380037868519801,0.00462962962962963,0.00925925925925926,5
